novel_id,novel_name,author,Dob,Pob
g1,A Christmas Carol,Charles Dickens,07-02-1812,Portsmouth
g2,A Sicilian Romance,Ann Radcliffe,09-07-1764,London
g3,Affinity,Sarah Waters,21-07-1966,unknown
g4,American Gothic Tales,Joyce Carol Oates,16-06-1938,Lockport
g5,And Then There Were None,Agatha Christie,15-09-1890,Torquay
g6,Asylum,Patrick McGrath,07-02-1950,London
g7,Bellefleur,Joyce Carol Oates,16-06-1938,Lockport
g8,Bride of Pendorric,Victoria Holt,unknown,unknown
g9,Caleb Williams,William Godwin,03-03-1756,Wisbech
g10,Carmilla,J. Sheridan Le Fanu,28-08-1814,Dublin
g11,Collected Ghost Stories,M.R. James,01-08-1862,Goodnestone
g12,Don't Look Now,Daphne du Maurier,13-05-1907,London
g13,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,13-11-1850,Edinburgh
g14,Dracul,Dacre Stoker,02-11-1958,unknown
g15,Dracula,Bram Stoker,08-11-1847,Dublin
g16,Dragonwyck,Anya Seton,23-01-1926,New York City
g17,Florence & Giles,John Harding,unknown,unknown
g18,Frankenstein,Mary Wollstonecraft Shelley,30-08-1797,London
g19,Ghost Stories of an Antiquary,M.R. James,01-08-1862,Goodnestone
g20,Gormenghast,Mervyn Peake,09-07-1911,Kuling
g21,Gothic Tales,Elizabeth Gaskell,29-09-1810,Chelsea
g22,Hawthorne's Short Stories,Nathaniel Hawthorne,04-07-1804,Salem
g23,In a Glass Darkly,J. Sheridan Le Fanu,28-08-1814,Dublin
g24,Jamaica Inn,Daphne du Maurier,13-05-1907,London
g25,Jane Eyre,Charlotte Brontë,21-04-1816,Thornton
g26,Kirkland Revels,Victoria Holt,unknown,unknown
g27,Lady Audley's Secret,Mary Elizabeth Braddon,04-10-1835,London
g28,Lost Souls,Poppy Z. Brite,25-05-1967,New Orleans
g29,Marina,Carlos Ruiz Zafón,25-09-1964,Barcelona
g30,Mary Reilly,Valerie Martin,14-09-1948,Indianapolis
g31,Melmoth the Wanderer,Charles Robert Maturin,25-09-1782,Dublin
g32,Mexican Gothic,Silvia Moreno-Garcia,25-04-1981,unknown
g33,Mistress of Mellyn,Victoria Holt,unknown,unknown
g34,My Cousin Rachel,Daphne du Maurier,13-05-1907,London
g35,My Sweet Audrina (Audrina #1),V.C. Andrews,06-06-1923,Portsmouth
g36,Nine Coaches Waiting,Mary Stewart,17-09-1916,Sunderland
g37,On the Night of the Seventh Moon,Victoria Holt,unknown,unknown
g38,Perfume: The Story of a Murderer,Patrick Süskind,26-03-1949,Ambach
g39,Rappaccini's Daughter,Nathaniel Hawthorne,04-07-1804,Salem
g40,Rebecca,Daphne du Maurier,13-05-1907,London
g41,River of Ashes (St. Benedict #1),Alexandrea Weis,unknown,unknown
g42,Seven Gothic Tales,Isak Dinesen,17-04-1885,Rungsted
g43,Shivering Sands,Victoria Holt,unknown,unknown
g44,Tales of Unease,Arthur Conan Doyle,22-05-1859,Edinburgh
g45,Temptation and Denial,Adam Nicke,unknown,unknown
g46,The Ballad of the Sad Café and Other Stories,Carson McCullers,19-02-1917,Columbus
g47,The Beetle,Richard Marsh,12-10-1857,London
g48,The Black Cat,Edgar Allan Poe,19-01-1809,Boston
g49,The Bloody Chamber and Other Stories,Angela Carter,07-05-1940,Eastbourne
g50,The Bride of Lammermoor,Walter Scott,15-08-1771,Edinburgh
g51,The Castle of Otranto,Horace Walpole,24-09-1717,London
g52,The Dancing Floor,Barbara Michaels,29-09-1927,Marion
g53,The Distant Hours,Kate Morton,19-02-1976,Berri
g54,The Fall of the House of Usher,Edgar Allan Poe,19-01-1809,Boston
g55,The Flowers of Evil,Charles Baudelaire,09-04-1821,Paris
g56,The Gargoyle,Andrew Davidson,30-07-1969,Pincher Creek
g57,The Ghost Stories of Edith Wharton,Edith Wharton,24-01-1862,New York City
g58,The Ghost Writer,John Harwood,unknown,unknown
g59,The Gormenghast Novels,Mervyn Peake,09-07-1911,Kuling
g60,The Great God Pan,Arthur Machen,03-03-1863,Caerleon
g61,The Haunting of Hill House,Shirley Jackson,14-12-1916,San Francisco
g62,The Historian,Elizabeth Kostova,26-12-1964,New London
g63,The Hound of the Baskervilles,Arthur Conan Doyle,22-05-1859,Edinburgh
g64,The House of the Seven Gables,Nathaniel Hawthorne,04-07-1804,Salem
g65,The Hunchback of Notre-Dame,Victor Hugo,26-02-1802,Besançon
g66,The Italian,Ann Radcliffe,09-07-1764,Holborn
g67,The Ivy Tree,Mary Stewart,17-09-1916,Sunderland
g68,The Legend of Sleepy Hollow,Washington Irving,03-04-1783,New York City
g69,The Little Stranger,Sarah Waters,21-07-1966,Neyland
g70,The Magic Toyshop,Angela Carter,07-05-1940,Eastbourne
g71,The Manuscript Found in Saragossa,Jan Potocki,08-03-1761,Dublin
g72,The Masque of the Red Death,Edgar Allan Poe,19-01-1809,Boston
g73,The Meaning of Night,Michael Cox,30-05-1948,Northampton
g74,The Monk,Matthew Gregory Lewis,09-07-1775,London
g75,The Mysteries of Udolpho,Ann Radcliffe,09-07-1764,Holborn
g76,The Phantom of the Opera,Gaston Leroux,06-05-1868,Paris
g77,The Picture of Dorian Gray,Oscar Wilde,16-10-1854,Dublin
g78,The Prince of Mist (Niebla #1),Carlos Ruiz Zafón,25-09-1964,Barcelona
g79,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,22-01-1770,Ettrick
g80,The Raven,Edgar Allan Poe,19-01-1809,Boston
g81,The Shining (The Shining #1),Stephen King,21-09-1947,Portland
g82,The Tell-Tale Heart,Edgar Allan Poe,19-01-1809,Boston
g83,The Tenant of Wildfell Hall,Anne Brontë,17-01-1820,Thornton
g84,The Thirteenth Tale,Diane Setterfield,22-08-1964,Reading
g85,The Turn of the Screw,Henry James,15-04-1843,New York City
g86,The Willows,Algernon Blackwood,14-03-1869,Kent
g87,The Woman in Black,Susan Hill,05-02-1942,Scarborough
g88,The Woman in White,Wilkie Collins,08-01-1824,London
g89,The Yellow Wall-Paper,Charlotte Perkins Gilman,03-07-1860,Hartford
g90,This Rough Magic (18) (Rediscovered Classics),Mary Stewart,17-09-1916,Sunderland
g91,Thornyhold,Mary Stewart,17-09-1916,Sunderland
g92,Titus Groan (Gormenghast #1),Mervyn Peake,09-07-1911,Kuling
g93,Uncle Silas,J. Sheridan Le Fanu,28-08-1814,Dublin
g94,Vathek,William Beckford,01-10-1760,London
g95,We Have Always Lived in the Castle,Shirley Jackson,14-12-1916,San Francisco
g96,Wieland and Memoirs of Carwin the Biloquist,Charles Brockden Brown,17-01-1771,Philadelphia
g97,Wuthering Heights,Emily Brontë,30-07-1818,Thornton
g98,Zofloya,Charlotte Dacre,1771,unknown
